附件1,,,,,,,,,,,,,,,
广东省县级以上机关2025年考试录用公务员职位表（不含公安、法检、监狱、戒毒系统）,,,,,,,,,,,,,,,
招考单位,单位代码,招考职位,职位代码,职位简介,职位类型,录用人数,学历,学位,"研究生专业
名称及代码","本科专业
名称及代码","大专专业
名称及代码",是否要求2年以上基层工作经历,是否限应届毕业生报考,其他要求,考区
广东省生态环境厅,1990054,广东省珠海生态环境监测站监测与预报二室二级主任科员以下,19900542541004 ,"从事环境空气、海洋大气研究、综合分析和预警工作;需24小时应急值班,适合男性",综合管理类职位,1,研究生,硕士以上,大气科学(A0706),,,否,否,,珠海
广东省生态环境厅,1990054,广东省珠海生态环境监测站分析测试与环境应急室二级主任科员以下,19900542541005 ,"从事环境监测工作;需出海、高空作业,适合男性",综合管理类职位,1,本科以上,学士以上,"分析化学(A070302),有机化学(A070303)","化学(B070301),应用化学(B070302)",,否,否,,珠海
广东省生态环境厅,1990054,广东省东莞生态环境监测站办公室四级主任科员以下,19900542541006 ,从事会计、财务、审计等工作,综合管理类职位,1,本科以上,学士以上,"审计硕士（专业硕士）(A020218),会计学(A120201),会计硕士（专业硕士）(A120206)","会计学(B120203),审计学(B120207)",,否,2025届高校毕业生,,东莞
广东省生态环境厅,1990054,广东省东莞生态环境监测站监测与预报一室二级主任科员以下,19900542541007 ,"从事地下水现场监测工作;需长时间高强度野外作业,适合男性",综合管理类职位,1,研究生,硕士以上,"自然地理学(A070501),地质工程(A081803),环境工程(A083002)",,,否,2025届高校毕业生,,东莞
广东省生态环境厅,1990054,广东省东莞生态环境监测站监测与预报三室二级主任科员以下,19900542541008 ,"从事生态质量监测工作;需长时间高强度野外监测,适合男性",综合管理类职位,1,研究生,硕士以上,"植物学(A071001),生态学(A0713),野生动植物保护与利用(A091205)",,,否,否,,东莞
广东省生态环境厅,1990054,广东省东莞生态环境监测站现场与应急监测室二级主任科员以下,19900542541009 ,"从事生态环境现场监测工作;需高空、水上及出海作业和值班值守,适合男性",综合管理类职位,1,研究生,硕士以上,"分析化学(A070302),有机化学(A070303)",,,否,否,,东莞
广东省生态环境厅,1990054,广东省湛江生态环境监测中心站监测与预报三室二级主任科员以下,19900542541010 ,"从事生态质量监测等工作;需要野外及出海作业,适合男性",综合管理类职位,1,研究生,硕士以上,"海洋生物学(A070703),水生生物学(A071004)",,,否,否,,湛江
广东省生态环境厅,1990054,广东省清远生态环境监测站党政办公室一级科员,19900542541011 ,从事环境监测相关文件撰写、试剂耗材管理等工作,综合管理类职位,1,本科,学士,,"化学(B070301),化学生物学(B070303),环境科学与工程(B082601),环境工程(B082602)",,否,2025届高校毕业生,,清远
广东省生态环境厅,1990054,广东省清远生态环境监测站分析测试与环境应急室一级科员,19900542541012 ,从事地下水监测和环境应急相关工作,综合管理类职位,1,本科,学士,,"地质学(B070901),地球化学(B070902)",,否,2025届高校毕业生,,清远
广东省住房和城乡建设厅,1990055,机关一级主任科员以下,19900552541001 ,从事住房城乡建设政策拟定、监督管理等相关工作,综合管理类职位,2,研究生,硕士以上,"建筑学(A0813),土木工程(A0814),土木工程硕士（专业硕士）(A084401)",,,是,否,,广州
广东省交通运输厅,1990056,综合运输处一级主任科员以下,19900562541001 ,从事道路运输市场监管及指导城市公共客运等相关工作,综合管理类职位,1,研究生,硕士以上,"交通信息工程及控制(A082302),交通运输规划与管理(A082303)",,,是,否,,广州
广东省交通运输厅,1990056,基建管理处一级主任科员以下,19900562541002 ,从事交通基本建设工程质量、造价监督、工程定额管理等工作,综合管理类职位,1,研究生,硕士以上,"结构工程(A081402),桥梁与隧道工程(A081406),水力学及河流动力学(A081502),水工结构工程(A081503),港口、海岸及近海工程(A081505)",,,是,否,,广州
广东省交通运输厅,1990056,地方铁路处一级主任科员以下,19900562541003 ,从事省管铁路建设管理等工作,综合管理类职位,1,研究生,硕士以上,"桥梁与隧道工程(A081406),道路与铁道工程(A082301)",,,是,否,,广州
广东省交通运输厅,1990056,公路运营处一级主任科员以下,19900562541004 ,从事收费公路监督管理等相关工作,综合管理类职位,1,研究生,硕士以上,"交通信息工程及控制(A082302),交通运输规划与管理(A082303)",,,是,否,,广州
广东省交通运输厅,1990056,安全监督处一级主任科员以下,19900562541005 ,从事交通运输行业安全监督等工作,综合管理类职位,1,本科以上,学士以上,"防灾减灾工程及防护工程(A081405),安全科学与工程(A0837)",应急技术与管理(B083002),,是,否,,广州
广东省交通运输厅,1990056,交通综合执法监督处一级主任科员以下,19900562541006 ,从事指导、监督全省交通行政执法工作,综合管理类职位,1,研究生,硕士以上,"宪法学与行政法学(A030103),民商法学（含：劳动法学、社会保障法学）(A030105),经济法学(A030107)",,,是,否,,广州
广东省交通运输厅,1990056,工程质量管理处一级主任科员以下,19900562541007 ,从事交通行业工程质量监督工作,综合管理类职位,1,研究生,硕士以上,"岩土工程(A081401),结构工程(A081402),桥梁与隧道工程(A081406)",,,是,否,,广州
