广东省各级人民法院2025年考试录用公务员职位表,,,,,,,,,,,,,,,
招考单位,单位代码,招考职位,职位代码,职位简介,职位类型,录用人数,学历,学位,"研究生专业
名称及代码","本科专业
名称及代码","大专专业
名称及代码",是否要求2年以上基层工作经历,是否限应届毕业生报考,其他要求,考区
广州互联网法院,3010013,综合审判庭五级法官助理,30100132548001 ,从事涉互联网民商事审判辅助工作,法院法官助理职位,1,本科以上,学士以上,06法律类,06法律类,,否,否,男性;通过法律职业资格考试;普通高等院校毕业生（非在职）,广州
广州互联网法院,3010013,综合审判庭五级法官助理,30100132548002 ,从事涉互联网民商事审判辅助工作,法院法官助理职位,1,本科以上,学士以上,06法律类,06法律类,,否,否,女性;通过法律职业资格考试;普通高等院校毕业生（非在职）,广州
广州互联网法院,3010013,综合审判庭五级法官助理,30100132548003 ,从事涉互联网民商事审判辅助工作,法院法官助理职位,1,本科以上,学士以上,06法律类,06法律类,,否,应届毕业生,男性;通过法律职业资格考试;普通高等院校毕业生（非在职）,广州
广州互联网法院,3010013,综合审判庭五级法官助理,30100132548004 ,从事涉互联网民商事审判辅助工作,法院法官助理职位,1,本科以上,学士以上,06法律类,06法律类,,否,应届毕业生,女性;通过法律职业资格考试;普通高等院校毕业生（非在职）,广州
深圳市中级人民法院,3020001,审判业务部门二级法官助理,30200012548001 ,从事审判辅助工作,法院法官助理职位,2,研究生,博士,"民商法学（含：劳动法学、社会保障法学）(A030105),经济法学(A030107),国际法学（含：国际公法、国际私法、国际经济法）(A030109)",,,否,否,"男性;通过法律职业资格考试;普通高等院校毕业生（非在职）, 本科须为法学专业且获法学学士学位",深圳
深圳市中级人民法院,3020001,审判业务部门二级法官助理,30200012548002 ,从事审判辅助工作,法院法官助理职位,2,研究生,博士,"民商法学（含：劳动法学、社会保障法学）(A030105),经济法学(A030107),国际法学（含：国际公法、国际私法、国际经济法）(A030109)",,,否,否,"女性;通过法律职业资格考试;普通高等院校毕业生（非在职）, 本科须为法学专业且获法学学士学位",深圳
深圳市中级人民法院,3020001,审判业务部门二级法官助理以下,30200012548003 ,从事审判辅助工作,法院法官助理职位,1,研究生,硕士以上,"刑法学(A030104),诉讼法学(A030106)",,,否,2025届高校毕业生,"通过法律职业资格考试;普通高等院校毕业生（非在职）, 本科须为法学专业且获法学学士学位",深圳
深圳市中级人民法院,3020001,审判业务部门二级法官助理以下,30200012548004 ,从事审判辅助工作,法院法官助理职位,1,研究生,硕士以上,"民商法学（含：劳动法学、社会保障法学）(A030105),经济法学(A030107)",,,否,2025届高校毕业生,"通过法律职业资格考试;普通高等院校毕业生（非在职）, 本科须为法学专业且获法学学士学位",深圳
深圳市中级人民法院,3020001,审判业务部门二级法官助理以下,30200012548005 ,从事审判辅助工作,法院法官助理职位,1,研究生,硕士以上,"民商法学（含：劳动法学、社会保障法学）(A030105),国际法学（含：国际公法、国际私法、国际经济法）(A030109)",,,否,应届毕业生,"通过法律职业资格考试;普通高等院校毕业生（非在职）, 本科须为法学专业且获法学学士学位",深圳
深圳市中级人民法院,3020001,办公室二级主任科员以下,30200012549001 ,从事财务审计等工作,法院司法行政职位,1,研究生,硕士以上,"财政学（含∶税收学）(A020203),金融学（含∶保险学）(A020204),审计硕士（专业硕士）(A020218),会计学(A120201),企业管理（含：财务管理、市场营销、人力资源管理）(A120202),会计硕士（专业硕士）(A120206)",,,否,否,企业管理（限：财务管理）（A120202）,深圳
